Subject_number,participant,OS,frameRate,trialNumber,Pair_type,Pass,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,similarity,response_time
1,31515,Win32,54.74352658,1,0,1,131,5,5,2283,2175,absent_patch/patch0002283.jpg,absent_patch/patch0002175.jpg,7,5.3682
1,31515,Win32,54.74352658,2,0,1,131,5,5,2283,2163,absent_patch/patch0002283.jpg,absent_patch/patch0002163.jpg,7,2.2545
1,31515,Win32,54.74352658,3,0,1,131,5,5,2271,2031,absent_patch/patch0002271.jpg,absent_patch/patch0002031.jpg,6,2.7506
1,31515,Win32,54.74352658,4,0,1,131,5,5,1947,1947,absent_patch/patch0001947.jpg,absent_patch/patch0001947.jpg,0,0.8001
1,31515,Win32,54.74352658,5,0,1,131,5,5,2283,1995,absent_patch/patch0002283.jpg,absent_patch/patch0001995.jpg,5,2.1287
1,31515,Win32,54.74352658,6,0,1,131,5,5,2031,2043,absent_patch/patch0002031.jpg,absent_patch/patch0002043.jpg,4,1.831
1,31515,Win32,54.74352658,7,1,1,131,5,5,2031,1,absent_patch/patch0002031.jpg,present_patch/cong_131_3_a.jpg,7,1.1179
1,31515,Win32,54.74352658,8,0,1,131,5,5,2271,2211,absent_patch/patch0002271.jpg,absent_patch/patch0002211.jpg,5,4.133
1,31515,Win32,54.74352658,9,0,1,131,5,5,1995,1995,absent_patch/patch0001995.jpg,absent_patch/patch0001995.jpg,0,0.9856
1,31515,Win32,54.74352658,10,0,1,131,5,5,2271,2247,absent_patch/patch0002271.jpg,absent_patch/patch0002247.jpg,6,3.0326
1,31515,Win32,54.74352658,11,0,1,131,5,5,2031,2247,absent_patch/patch0002031.jpg,absent_patch/patch0002247.jpg,6,3.6003
1,31515,Win32,54.74352658,12,0,1,131,5,5,2175,2031,absent_patch/patch0002175.jpg,absent_patch/patch0002031.jpg,4,3.5895
1,31515,Win32,54.74352658,13,0,1,131,5,5,2367,2271,absent_patch/patch0002367.jpg,absent_patch/patch0002271.jpg,7,1.07
1,31515,Win32,54.74352658,14,0,1,131,5,5,2283,2247,absent_patch/patch0002283.jpg,absent_patch/patch0002247.jpg,7,0.9856
