Pair_type,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,mask_name,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_2.thisRepN,prac_mask_loop_2.thisTrialN,prac_mask_loop_2.thisN,prac_mask_loop_2.thisIndex,instruction_1_text.started,all_patches.started,space_press_continue.started,press_space_continue.started,Esc_exit.started,space_press_continue.keys,space_press_continue.rt,patch_1_movie.started,space_press_continue_2.started,Esc_exit_2.started,space_press_continue_2.keys,space_press_continue_2.rt,patch_2_movie.started,space_press_continue_3.started,Esc_exit_3.started,space_press_continue_3.keys,space_press_continue_3.rt,instruction_text_4.started,use_all_numbers.started,response_screen_intr.started,space_press_continue_4.started,space_continue_low.started,Esc_exit_4.started,space_press_continue_4.keys,space_press_continue_4.rt,instruction_text_5.started,response_screen_after.started,space_press_continue_5.started,space_continue_low_2.started,Esc_exit_5.started,space_press_continue_5.keys,space_press_continue_5.rt,prac_begin_space.started,space_press_continue_6.started,Esc_exit_6.started,space_press_continue_6.keys,space_press_continue_6.rt,Esc_exit_13.started,practice_patch_1.started,practice_patch_1.stopped,Esc_exit_13.stopped,Esc_exit_14.started,Esc_exit_12.started,practice_patch_2.started,practice_patch_2.stopped,Esc_exit_12.stopped,mouse_2.started,text.started,most_similar_3.started,most_different_3.started,Esc_exit_7.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,similarity,response_time,Pass,text_55.started,text_56.started,Esc_exit_8.started,text_55.stopped,text_56.stopped,Esc_exit_8.stopped,mouse_12.started,most_similar_4.started,most_different_4.started,Esc_exit_9.started,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,14.598586844993406,14.598586844993406,14.598586844993406,14.598586844993406,14.598586844993406,space,3.938382596024894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.837374887996702,20.837374887996702,20.837374887996702,space,1.858594860008452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.29558140799054,23.29558140799054,23.29558140799054,space,1.5732716870115837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.91515835998871,24.91515835998871,24.91515835998871,24.91515835998871,24.91515835998871,24.91515835998871,space,1.438800459014601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.378596855996875,26.378596855996875,26.378596855996875,26.378596855996875,26.378596855996875,space,1.0563872770144371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.472939847997623,27.472939847997623,27.472939847997623,space,1.9762064520036802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_002.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.507292524998775,29.973528231988894,30.13786927399633,30.19196581900178,30.19196581900178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_004.jpg,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.245761614991352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_001.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29582425300032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_003.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.361664044990903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
