Trial_number,Pair_type,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,mask_name,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_2.thisRepN,prac_mask_loop_2.thisTrialN,prac_mask_loop_2.thisN,prac_mask_loop_2.thisIndex,instruction_1_text.started,all_patches.started,space_press_continue.started,space_press_continue.keys,space_press_continue.rt,practice_patch_1.started,practice_patch_1.stopped,practice_patch_2.started,practice_patch_2.stopped,mouse.started,text_23.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,7.63017299999774,7.63017299999774,7.63017299999774,space,3.7690972999989754,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_003.jpg,0,0,0,1,0,0,0,2,,,,,,,,,,11.905360099990503,12.055343799991533,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_002.jpg,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_001.jpg,0,0,0,1,0,2,2,0,,,,,,,,,,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_005.jpg,0,0,0,1,0,3,3,4,,,,,,,,,,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_004.jpg,0,0,0,1,0,4,4,3,,,,,,,,,,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_001.jpg,0,0,0,1,,,,,0,0,0,0,,,,,,,,12.838239399992744,12.988515599994571,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_002.jpg,0,0,0,1,,,,,0,1,1,1,,,,,,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_005.jpg,0,0,0,1,,,,,0,2,2,4,,,,,,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_004.jpg,0,0,0,1,,,,,0,3,3,3,,,,,,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_003.jpg,0,0,0,1,,,,,0,4,4,2,,,,,,,,,,,,467241,001,2022-11-04_13h44.27.604,Info_measure_main_exp,2022.2.2,59.86715478255933,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01684890000615269,13.305167799990159,,,,,,,
