Absent,Present,mask_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mask_loop.thisRepN,mask_loop.thisTrialN,mask_loop.thisN,mask_loop.thisIndex,mask_loop_2.thisRepN,mask_loop_2.thisTrialN,mask_loop_2.thisN,mask_loop_2.thisIndex,mouse_1.started,center_square.started,begin_mouse_center.started,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,fixation_cross_1.started,first_patch.started,fixation_cross_1.stopped,first_patch.stopped,mask_image.started,fixation_cross_2.started,second_patch.started,fixation_cross_2.stopped,second_patch.stopped,mouse.started,response3disk.started,response5disk.started,response7disk.started,text_23.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,similarity,response_time,mouse_11.started,response1disk_2.started,response3disk_2.started,response5disk_2.started,response7disk_2.started,text_51.started,center_square_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,1.840014010667801e-05,6.604084999999031,6.604084999999031,[-0.003703703703703704],[0.006481481481481481],[1],[0],[0],[1.0130953998304904],['center_square'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_002.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,7.604081500088796,8.087263300083578,8.105059900088236,8.287397000007331,8.287397000007331,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_003.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,8.355244799982756,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_001.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,8.42237320006825,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_004.jpg,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,8.470629299990833,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_004.jpg,0,0,0,0,,,,,0,0,0,3,,,,,,,,,,,,,,,9.220646700123325,8.538555100094527,9.02130030002445,9.038005399983376,9.220646700123325,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_005.jpg,0,0,0,0,,,,,0,1,1,4,,,,,,,,,,,,,,,9.287817399948835,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_001.jpg,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,,,,,9.354422000003979,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_002.jpg,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,9.404574200045317,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_003.jpg,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,,,,,9.470547399949282,,,,,,,,,,,,,,,,,,,,,,,,,666120,001,2022-11-01_10h46.33.030,Info_measure_main_exp,2022.2.2,59.99768414160415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016007099533453584,9.53720510005951,9.53720510005951,9.53720510005951,9.53720510005951,0.10555555555555556,0.020370370370370372,1,0,0,response1disk,6,1.301921800011769,1.9200146198272705e-05,10.837294100085273,10.837294100085273,10.837294100085273,10.837294100085273,10.837294100085273,10.837294100085273,,,,,,,
