participant,session,date,expName,psychopyVersion,OS,frameRate,space_press_continue.keys,space_press_continue.rt,space_press_continue_2.keys,space_press_continue_2.rt,space_press_continue_3.keys,space_press_continue_3.rt,space_press_continue_4.keys,space_press_continue_4.rt,space_press_continue_5.keys,space_press_continue_5.rt,space_press_continue_6.keys,space_press_continue_6.rt,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_1.ran,mask_name
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,space,2.91348,,,,,,,,,,,,,,,,
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,space,1.068795,,,,,,,,,,,,,,
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,space,5.511535,,,,,,,,,,,,
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,space,0.585615,,,,,,,,,,
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,space,0.53451,,,,,,,,
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,space,0.657065,,,,,,
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,0,0,1,1,masks/mask_002.jpg
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,1,1,3,1,masks/mask_004.jpg
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,2,2,0,1,masks/mask_001.jpg
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,3,3,4,1,masks/mask_005.jpg
786279,001,2022-11-20_18h11.47.939,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,4,4,2,1,masks/mask_003.jpg
