Absent,Present,mask_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mask_loop.thisRepN,mask_loop.thisTrialN,mask_loop.thisN,mask_loop.thisIndex,mask_loop_2.thisRepN,mask_loop_2.thisTrialN,mask_loop_2.thisN,mask_loop_2.thisIndex,mouse_1.started,center_square.started,begin_mouse_center.started,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,fixation_cross_1.started,first_patch.started,fixation_cross_1.stopped,first_patch.stopped,mask_image.started,fixation_cross_2.started,second_patch.started,fixation_cross_2.stopped,second_patch.stopped,mouse.started,response1disk.started,response3disk.started,response5disk.started,response7disk.started,text_23.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,similarity,response_time,mouse_11.started,response1disk_2.started,response3disk_2.started,response5disk_2.started,response7disk_2.started,text_51.started,center_square_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,1.7799902707338333e-05,6.401094499975443,6.401094499975443,[-0.002777777777777778],[0.0],[1],[0],[0],[2.183176300022751],['center_square'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_002.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,8.56707700015977,9.050413000164554,9.066834399942309,9.250411099987105,9.250411099987105,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_003.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,9.316849500173703,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_001.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,9.383882000111043,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_004.jpg,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,9.433906699996442,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_005.jpg,0,0,0,0,,,,,0,0,0,4,,,,,,,,,,,,,,,10.184836199972779,9.500088199973106,9.98348639998585,10.000248900149018,10.184836199972779,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_001.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,10.251139000058174,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_003.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,10.318282200023532,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_002.jpg,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,10.367557700024918,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_004.jpg,0,0,0,0,,,,,0,4,4,3,,,,,,,,,,,,,,,10.434036700055003,,,,,,,,,,,,,,,,,,,,,,,,,,993232,001,2022-11-01_10h42.28.724,Info_measure_main_exp,2022.2.2,60.23838742838984,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01623959979042411,10.500091399997473,10.500091399997473,10.500091399997473,10.500091399997473,10.500091399997473,0.11388888888888889,0.1398148148148148,1,0,0,response1disk,7,1.133887599920854,4.359986633062363e-05,11.633316300110891,11.633316300110891,11.633316300110891,11.633316300110891,11.633316300110891,11.633316300110891,,,,,,,
