Absent,Present,mask_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mask_loop.thisRepN,mask_loop.thisTrialN,mask_loop.thisN,mask_loop.thisIndex,mask_loop_2.thisRepN,mask_loop_2.thisTrialN,mask_loop_2.thisN,mask_loop_2.thisIndex,mouse_1.started,center_square.started,begin_mouse_center.started,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,fixation_cross_1.started,fixation_cross_1.stopped,first_patch.started,first_patch.stopped,mask_image.started,fixation_cross_2.started,second_patch.started,fixation_cross_2.stopped,second_patch.stopped,mouse.started,response1disk.started,response3disk.started,response5disk.started,response7disk.started,text_23.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,similarity,response_time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,1.9099796190857887e-05,6.693026599939913,6.693026599939913,[0.002777777777777778],[-0.000925925925925926],[1],[0],[0],[8.230965400114655],['center_square'],,,,,,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_004.jpg,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,14.92423880007118,15.424985399935395,15.424985399935395,15.624519400065765,15.624519400065765,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_002.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,15.69150139996782,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_001.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,15.75826849997975,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_003.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,15.809889300027862,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_002.jpg,0,0,0,0,,,,,0,0,0,1,,,,,,,,,,,,,,,16.55804209993221,15.874847200000659,16.357773900032043,16.37471010000445,16.55804209993221,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_001.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,16.624404600122944,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_003.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,16.69105549994856,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_004.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,16.741165400017053,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
absent_patch/patch0002178.jpg,present_patch/cong_131_5_a.jpg,masks/mask_005.jpg,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,16.80776929995045,,,,,,,,,,,,,,,,,,,813388,001,2022-11-01_10h40.34.144,Info_measure_main_exp,2022.2.2,59.8533592680541,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003859996795654297,16.85783450002782,16.85783450002782,16.85783450002782,16.85783450002782,16.85783450002782,0.04537037037037037,0.10185185185185185,1,0,0,response1disk,7,1.4200663000810891,,,,,,,
